postal,nm,vap
ce,SIMONE TEBET,66214
ce,VERA,717
ce,LÉO PÉRICLES,1129
ce,JAIR BOLSONARO,1377827
ce,CONSTITUINTE EYMAEL,416
ce,FELIPE D&apos;AVILA,7030
ce,SORAYA THRONICKE,24497
ce,SOFIA MANZANO,1579
ba,CIRO GOMES,217224
ba,LULA,5873081
ba,PADRE KELMON,4898
ba,SIMONE TEBET,197305
ba,VERA,1148
ba,LÉO PÉRICLES,1926
ba,JAIR BOLSONARO,2047599
ba,CONSTITUINTE EYMAEL,753
ba,FELIPE D&apos;AVILA,11605
ba,SORAYA THRONICKE,65046
ba,SOFIA MANZANO,2423
am,CIRO GOMES,44525
am,LULA,1019585
am,PADRE KELMON,1373
am,SIMONE TEBET,87057
am,VERA,393
am,LÉO PÉRICLES,484
am,JAIR BOLSONARO,880087
am,CONSTITUINTE EYMAEL,267
am,FELIPE D&apos;AVILA,5212
am,SORAYA THRONICKE,17000
am,SOFIA MANZANO,476
ap,CIRO GOMES,14670
ap,LULA,197382
ap,PADRE KELMON,359
ap,SIMONE TEBET,27497
ap,VERA,144
ap,LÉO PÉRICLES,105
ap,JAIR BOLSONARO,187621
ap,CONSTITUINTE EYMAEL,62
ap,FELIPE D&apos;AVILA,1236
ap,SORAYA THRONICKE,2955
ap,SOFIA MANZANO,130
al,CIRO GOMES,43542
al,LULA,974156
al,PADRE KELMON,3020
al,SIMONE TEBET,67411
al,VERA,325
al,LÉO PÉRICLES,482
al,JAIR BOLSONARO,621515
al,CONSTITUINTE EYMAEL,139
al,FELIPE D&apos;AVILA,2450
al,SORAYA THRONICKE,10683
al,SOFIA MANZANO,494
ac,CIRO GOMES,12314
ac,PADRE KELMON,279
ac,FELIPE D&apos;AVILA,825
ac,SOFIA MANZANO,144
ac,JAIR BOLSONARO,275582
ac,SORAYA THRONICKE,2444
ac,VERA,77
ac,LÉO PÉRICLES,64
ac,LULA,129022
ac,CONSTITUINTE EYMAEL,44
ac,SIMONE TEBET,20122
